method,n_genes,time_sec,n_sig_fdr1,n_sig_fdr5,n_sig_fdr10,n_sig_lfc0.5,n_sig_lfc1,p_median,p_mean,p_lt_0.05,lfc_median,dataset,is_null,n_dv_fdr5,n_dv_fdr10,dv_p_median,dv_p_lt_0.05,n_dd_fdr5,n_dd_fdr10,n_score_fdr5,n_score_fdr10,score_median,n_true_de,n_true_dv,TP_de_fdr5,FP_de_fdr5,prec_de,recall_de,F1_de,TP_dv_fdr5,FP_dv_fdr5,prec_dv,recall_dv,F1_dv,n_post_de_0.5,n_post_de_0.8,n_post_deonly_0.8,n_post_de_call,n_de_fdr_call,n_post_dv_0.8,n_post_dvonly_0.8,n_post_dv_call,n_dv_fdr_call,n_post_dg_0.8,n_post_dgonly_0.8,n_post_dg_call,n_dg_fdr_call,prior_de_used,prior_dv_used,prior_dv_upper,prior_dg_used,post_de_threshold,post_dv_threshold,post_dg_threshold,post_de_realized_fdr,post_dv_realized_fdr,post_dg_realized_fdr,n_dv_model_raw_fdr5,n_dv_model_fdr5,n_dv_bf_fdr5,n_dv_mix_fdr5,TP_de_post08,FP_de_post08,prec_de_post08,recall_de_post08,F1_de_post08
dv_diffVar,35635,6.15,,5,6,,,0.266306734819185,,,0.213795085172874,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_diffVar,11207,2.45,,2,3,,,0.462698496596904,,,0.107604123639141,muscat_sim,False,,,,,,,,,,1681.0,,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_diffVar,26179,4.14,,44,91,,,0.406547493633957,,,0.267488050199987,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_diffVar,39851,6.25,,746,1100,,,0.453836969585962,,,0.21023098467977,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dv_diffVar,41861,6.1,,0,9,,,0.362806834788655,,,0.2341654066346,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,5303,2.92,,13,22,,,0.519404977466538,,,0.295939280141292,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,35635,8.93,,2806,3412,,,0.914398636508758,,,0.0441299641451797,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,11207,5.58,,0,0,,,0.472237064642199,,,0.1893824909847,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,26179,8.47,,0,0,,,0.553335485662427,,,0.365888707985121,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,39851,14.58,,2,4,,,0.582757611137935,,,0.348008204632257,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgeR,41861,16.02,,8624,10796,,,0.223796913093661,,,0.698277364093738,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,5303,10.02,,0,0,,,0.511096569054415,,,0.318801218760986,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,35635,42.99,,4004,4809,,,0.922539565474451,,,0.0706942945645143,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,11207,13.44,,0,0,,,0.531082932405452,,,0.190531068324195,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,26179,45.41,,0,0,,,0.533582565530419,,,0.39735978258318,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,39851,38.67,,1,1,,,0.595461743327479,,,0.37488197249175,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmGamPoi,41861,50.7,,9990,12907,,,0.161959710899314,,,0.932021964491023,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,5303,184.88,,2,3,,,0.523211907821775,,,0.350735794698106,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,11929,603.56,,4219,4904,,,0.102690447435143,,,0.285264093638346,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,11207,449.06,,108,186,,,0.468610665452453,,,0.174907182252134,muscat_sim,False,,,,,,,,,,1681.0,,3.0,105.0,0.0278,0.0018,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,20137,1012.97,,308,455,,,0.462493771428718,,,0.366899176163504,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,23571,1038.17,,197,382,,,0.396011793609798,,,0.405885133605589,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmmTMB,27926,1236.26,,11217,12964,,,0.0693241710965887,,,0.592286687819968,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,5303,0.96,,0,0,,,0.485716335963221,,,0.328103376830874,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,35635,5.08,,3003,3484,,,0.872278356262262,,,0.0720905515806362,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,11207,1.79,,0,0,,,0.47183739024546,,,0.195202813638491,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,26179,4.11,,0,0,,,0.456109619878133,,,0.469405754890883,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,39851,4.47,,14072,15675,,,0.132283629137278,,,0.911758979642316,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limma,41861,4.73,,10218,18409,,,0.0711125002228068,,,0.924668155942251,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,284,80.78,,1,1,,,0.4085,,,0.2525,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,8667,31.23,,3119,3708,,,0.0841,,,0.276,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,8731,21.76,,0,0,,,0.479,,,0.164,muscat_sim,False,,,,,,,,,,1424.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,17836,34.4,,0,0,,,0.502,,,0.3305,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,16449,39.2,,4,24,,,0.452,,,0.291,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muscat,18815,38.53,,9288,10852,,,0.0264,,,0.731,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,5303,546.47,,0,0,,,0.780249398697134,,,0.0,jakel,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,17016,2180.5,,2423,3961,,,0.350625278423999,,,0.0,kang18,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,11207,1919.08,,0,0,,,0.627167050717532,,,0.0,muscat_sim,False,,,,,,,,,,1681.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,22025,3269.71,,0,0,,,0.699374199935276,,,0.0,segerstolpe,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,27496,3649.48,,0,0,,,0.765763173528629,,,0.0,xin,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scDD,37592,4983.45,,3892,8926,,,0.287227566038627,,,0.0,zilionis,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
